table_name,rls_enabled,policy_name,command,applies_to_roles,using_expr,with_check_expr
product_stock,true,product_stock_update,UPDATE,null,"((org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids)) AND (location_id IN ( SELECT current_user_location_ids() AS current_user_location_ids)) AND (EXISTS ( SELECT 1
   FROM org_members m
  WHERE ((m.org_id = product_stock.org_id) AND (m.user_id = auth.uid()) AND (m.role = ANY (ARRAY['owner'::text, 'admin'::text]))))))","((org_id IN ( SELECT current_user_writable_org_ids() AS current_user_writable_org_ids)) AND (location_id IN ( SELECT current_user_location_ids() AS current_user_location_ids)) AND (EXISTS ( SELECT 1
   FROM org_members m
  WHERE ((m.org_id = product_stock.org_id) AND (m.user_id = auth.uid()) AND (m.role = ANY (ARRAY['owner'::text, 'admin'::text]))))))"
production_log,true,production_log_org_delete,DELETE,null,(org_id IN ( SELECT current_user_writable_org_ids() AS current_user_writable_org_ids)),null
production_log,true,production_log_org_insert,INSERT,null,null,(org_id IN ( SELECT current_user_writable_org_ids() AS current_user_writable_org_ids))
production_log,true,production_log_org_read,SELECT,null,(org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids)),null
production_log,true,production_log_org_update,UPDATE,null,(org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids)),(org_id IN ( SELECT current_user_writable_org_ids() AS current_user_writable_org_ids))
products,true,products_org_delete,DELETE,null,(org_id IN ( SELECT current_user_writable_org_ids() AS current_user_writable_org_ids)),null
products,true,products_org_insert,INSERT,null,null,(org_id IN ( SELECT current_user_writable_org_ids() AS current_user_writable_org_ids))
products,true,products_org_read,SELECT,null,(org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids)),null
products,true,products_org_update,UPDATE,null,(org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids)),(org_id IN ( SELECT current_user_writable_org_ids() AS current_user_writable_org_ids))
promotion_items,true,promotion_items_delete,DELETE,null,"(promotion_id IN ( SELECT promotions.id
   FROM promotions
  WHERE (promotions.org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids))))",null
promotion_items,true,promotion_items_insert,INSERT,null,null,"(promotion_id IN ( SELECT promotions.id
   FROM promotions
  WHERE (promotions.org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids))))"
promotion_items,true,promotion_items_read,SELECT,null,"(promotion_id IN ( SELECT promotions.id
   FROM promotions
  WHERE (promotions.org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids))))",null
promotions,true,promotions_delete,DELETE,null,(org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids)),null
promotions,true,promotions_insert,INSERT,null,null,(org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids))
promotions,true,promotions_read,SELECT,null,(org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids)),null
promotions,true,promotions_update,UPDATE,null,(org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids)),null
purchase_order_items,true,purchase_order_items_delete,DELETE,null,"(po_id IN ( SELECT purchase_orders.id
   FROM purchase_orders
  WHERE (purchase_orders.org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids))))",null
purchase_order_items,true,purchase_order_items_insert,INSERT,null,null,"(po_id IN ( SELECT purchase_orders.id
   FROM purchase_orders
  WHERE (purchase_orders.org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids))))"
purchase_order_items,true,purchase_order_items_read,SELECT,null,"(po_id IN ( SELECT purchase_orders.id
   FROM purchase_orders
  WHERE (purchase_orders.org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids))))",null
purchase_orders,true,purchase_orders_delete,DELETE,null,(org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids)),null
purchase_orders,true,purchase_orders_insert,INSERT,null,null,(org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids))
purchase_orders,true,purchase_orders_read,SELECT,null,(org_id IN ( SELECT current_user_org_ids() AS current_user_org_ids)),null
