table_name,grantee,privs
wms_expiry_forecast,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_expiry_forecast,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_inventory,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_inventory,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_inventory_by_item,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_inventory_by_item,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_inventory_in_transit,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_inventory_in_transit,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_locations,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_locations,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_org_settings,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_org_settings,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_po_items,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_po_items,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_purchase_orders,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_purchase_orders,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_receipt_items,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_receipt_items,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_receipts,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_receipts,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_rpc_idempotency,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_rpc_idempotency,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_stock_count_audit,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_stock_count_audit,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_stock_count_sessions,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_stock_count_sessions,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_stock_counts,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_stock_counts,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_transfer_items,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_transfer_items,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_transfers,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
wms_transfers,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
zra_config,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
zra_config,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
zra_invoices,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
zra_invoices,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
